الكترونيك (1),8101087,1,3,دکتر کلاه دوز,29541,16110,10.5-12,,10.5-12,,,,96/10/30 صبح,مدارهاي الكتريكي (1),60
الكترونيك (2),8101088,1,3,دكتر آشتیانی,27905,16092,10.5-12,,10.5-12,,,,96/11/04 صبح,الكترونيك (1),50
الكترونيك (2),8101088,2,3,دكتر شیخائی,27186,16086,10.5-12,,10.5-12,,,,96/11/04 صبح,الكترونيك (1),50
الكترونيك (2),8101088,2,3,دكتر افضلی کوشا,24378,16053,10.5-12,,10.5-12,,,,96/11/04 صبح,الكترونيك (1),50
آمار و احتمالات مهندسی,8101092,1,3,دکتر ادهمی,326415,18250,,9-10.5,,9-10.5,,,96/10/30 صبح,رياضي (2),60
آمار و احتمالات مهندسی,8101092,2,3,دکتر ربیعی,28667,16101,14-15.5,,14-15.5,,,,96/10/30 صبح,رياضي (2),60
آمار و احتمالات مهندسی(کامپيوتر),8101092,3,3,دکتر بهرک,394392,18306,9-10.5,,9-10.5,,,,96/10/30 صبح,رياضي (2),60
الكترومغناطيس,8101072,1,3,دکتر شاه آبادی,25475,16062,,10.5-12,,10.5-12,,,96/10/25 عصر,فيزيك (2) + * رياضي مهندسي,60
الكترومغناطيس,8101072,2,3,دکتر یوسفی,29986,16112,,10.5-12,,10.5-12,,,96/10/25 عصر,فيزيك (2) + * رياضي مهندسي,60
الكترومغناطيس,8101072,2,3,دکتر نشاط,29989,16113,,14-15.5,,14-15.5,,,96/10/25 عصر,فيزيك (2) + * رياضي مهندسي,60
بررسي سيستم هاي قدرت (1),8101109,1,3,دکتر امینی فر,30049,16118,,10.5-12,,10.5-12,,,96/10/30 عصر,٭ماشین های الکتریکی(2),50
بررسي سيستم هاي قدرت (1),8101109,2,3, دکتر معینی,394921,18266,,"7,5-9",,"7,5-9",,,96/10/30 عصر,٭ماشین های الکتریکی(2),50
برنامه سازي پيشرفته,8101119,1,3,دكتر خسروی,27860,16090,,10.5-12,,10.5-12,,,96/10/25 صبح,مباني كامپيوتر و برنامه سازي ,60
تجزيه و تحليل سيستم ها,8101144,1,3,دکتر عباس فر,27644,16087,,14-15.5,,14-15.5,,,96/11/01 عصر,رياضي مهندسي,60
تجزيه و تحليل سيستم ها,8101144,2,3,دکتر صالح کلیبر,30688,16128,14-15.5,,14-15.5,,,,96/11/01 عصر,رياضي مهندسي,60
رياضي مهندسي,8101206,1,3,دكتر محمدطاهری,23270,16045,10.5-12,,10.5-12,,,,96/11/02 عصر,رياضي (2) + معادلات ديفرانسيل,70
رياضي مهندسي,8101206,2,3,دكتر محمدپوراقدم,30018,16117,,9-10.5,,9-10.5,,,96/11/02 عصر,رياضي (2) + معادلات ديفرانسيل,70
رياضي مهندسي,8101206,3,3,دکتر طالع ماسوله,28893,18317,,14-15.5,,14-15.5,,,96/11/02 عصر,رياضي (2) + معادلات ديفرانسيل,70
زبان تخصصي,8101209,01و02,2,خانم فاطمي,326230,18263,,,,,8-10,,96/11/01 صبح,زبان خارجي,2گروه 25 نفره
زبان تخصصي,8101209,03و04,2,خانم فاطمي,326230,18263,,,,,10-12,,96/11/01 صبح,زبان خارجي,2گروه 25 نفره
زبان تخصصي,8101209,05و06,2,خانم فاطمي,326230,18263,,,,,13-15,,96/11/01 صبح,زبان خارجي,2گروه 25 نفره
سيستم هاي كنترل خطي,8101224,1,3,دکتر بهرامی,22359,16037,,14-15.5,,14-15.5,"8-9,5",,96/10/23 صبح,تجزيه و تحليل سيستم ها,45
سيستم هاي كنترل خطي,8101224,2,3,دكتر عباسيان,28693,16102,,7.5-9,,7.5-9,,,96/10/23 صبح,تجزيه و تحليل سيستمها  (همزمان با آز کنترل ),45
ماشين های الكتريكي (2),8101322,1,3,دکتر داور پناه,30228,16120,,9-10.5,,9-10.5,,,96/10/26 عصر,ماشين های الکتریکی (1),50
ماشين های الكتريكي (2),8101322,2,3,دکتر افشارنیا,24498,16054,9-10.5,,9-10.5,,,,96/10/26 عصر,ماشين های الکتریکی (1),50
مباني كامپيوتر و برنامه سازي,8101347,1,4,دكتر مرادي,27954,16095,,9-10.5,,9-10.5,,,,٭ رياضي (1),160
مباني كامپيوتر و برنامه سازي,8101347,2,4,دكتر هاشمي,26909,16082,10.5-12,,10.5-12,,,,,٭ رياضي (1),100
مخابرات (1),8101354,1,3,دكتر الفت,26871,16081,,10.5-12,,10.5-12,,,96/11/01 عصر,آمار و احتمالات + تجزيه‌وتحليل سيستم‌ها,60
مخابرات (1),8101354,2,3,دكتر صباغیان,28644,16100,,9-10.5,,9-10.5,,,96/11/01 عصر,آمار و احتمالات + تجزيه‌وتحليل سيستم‌ها,60
مدارهاي الكتريكي (1),8101359,1,3,دكتر راشدمحصل,24220,16052,9-10.5,,9-10.5,,,,96/10/23 عصر,فيزيك (2) + * معادلات ديفرانسيل,70
مدارهاي الكتريكي (1),8101359,2,3,دکتر توحیدیان,,18337,9-10.5,,9-10.5,,,,96/10/23 عصر,فيزيك (2) + * معادلات ديفرانسيل,60
مدارهاي الكتريكي (2),8101360,1,3,دكتر ایمان عینی,28395,16099,,7.5-9,,7.5-9,,,96/11/04 عصر,مدارهای الکتريکی (1),60
مدارهاي منطقي,8101367,1,3,دكتر نوابي,23677,16046,7.5-9,,7.5-9,,,,96/10/27 صبح,٭ مدارهاي الكتريكي (1),120
طراحی و ساخت کامپایلر,8101420,1,3,دکتر قاسمی,28929,16145,,14-15.5,,14-15.5,,,96/11/05 صبح,ساختمان داده ها,60
معماري كامپيوتر ,8101423,1,3,دكتر صفري,26932,16084,7.5-9,,7.5-9,,,,96/10/23 صبح,مدارهای منطقي,60
ماشين هاي الكتريكي (1),8101425,1,3,دکتر لسانی,23254,16044,9-10.5,,9-10.5,,,,96/10/26 صبح,مدارهای الکتریکی (1) + الكترومغناطيس,50
ساختمان داده ها و الگوريتم,8101437,1,3,دکتر فیلی,27952,16093,,9-10.5,,9-10.5,,,96/10/25 صبح,برنامه سازي پيشرفته +*ساختمان گسسته,80
سيستم هاي عامل (1),8101443,1,3,دكتر كارگهي,27861,16091,,9-10.5,,9-10.5,,,96/11/04 صبح,معماري كامپيوتر,60
ساختمان گسسته,8101480,1,3,دکتر محمدی,26847,16079,,14-15.5,,14-15.5,,,96/10/28 صبح,رياضي (1) + مباني كامپيوتر و برنامه سازی,50
مدارهای الکتریکی(کامپيوتر),8101522,1,3,دکتر صدر السادات,30715,16125,14-15،5,,14-15،5,,,,96/10/23 عصر,,50
آزمايشگاه مدار و اندازه گيري (1),8101047,1,1,دکتر راشدمحصل,24220,16052,,13-15.5,,,,,,٭ اندازه‌گيري الكتريكي يا ٭ مدار الكتريكي(1),24
آزمايشگاه مدار و اندازه گيري (1),8101047,2,1,مهندس رضايي,26772,16148,,,13-15.5,,,,,٭ اندازه‌گيري الكتريكي يا ٭ مدار الكتريكي(1),24
آزمايشگاه مدار و اندازه گيري (1),8101047,3,1,مهندس رضايي,26772,16148,,,,13-15.5,,,,٭ اندازه‌گيري الكتريكي يا ٭ مدار الكتريكي(1),24
آزمايشگاه مدار و اندازه گيري (1),8101047,4,1,مهندس رضايي,26772,16148,,,,,8-10.5,,,٭ اندازه‌گيري الكتريكي يا ٭ مدار الكتريكي(1),24
آزمايشگاه مدار و اندازه گيري (1),8101047,5,1,مهندس رضايي,26772,16148,13-15.5,,,,,,,٭ اندازه‌گيري الكتريكي يا ٭ مدار الكتريكي(1),24
آزمايشگاه مدار و اندازه گيري (1),8101047,6,1,مهندس رضايي/امریه,26772,16148,,"16-18,5",,,,,,٭ اندازه‌گيري الكتريكي يا ٭ مدار الكتريكي(1),24
آزمايشگاه مدار و اندازه گيري (1) غیر فعال,8101047,7,1,مهندس رضايي,26772,16148,,,"16-18,5",,,,,٭ اندازه‌گيري الكتريكي يا ٭ مدار الكتريكي(1),24
آزمايشگاه الكترونيك (1),8101022,1,1,دکتر کلاه دوز,29541,16110,13-16,,,,,,,الكترونيك (1) + آز مدار و اندازه گيري,30
آزمايشگاه الكترونيك (1),8101022,2,1,مهندس خودکاری,26771,16147,,,,13-16,,,,الكترونيك (1) + آز مدار و اندازه گيري,30
آزمايشگاه الكترونيك (1),8101022,3,1,مهندس خودکاری,26771,16147,,,,,13-16,,,الكترونيك (1) + آز مدار و اندازه گيري,30
آزمايشگاه الكترونيك (2),8101024,1,1,دكتر کلاه دوز,29541,16110,,,13-16,,,,,آز الكترونيك (1) + الكترونيك (2),30
آزمايشگاه الكترونيك (2),8101024,2,1,دكتر کلاه دوز,29541,16110,,,,,9-12,,,آز الكترونيك (1) + الكترونيك (2),30
آزمايشگاه الكترونيك (3),8101026,1,1,دکتر شیخائی,27186,16086,,13-15.5,,,,,,آز الكترونيك (2) + * الكترونيك (3),12
كارگاه عمومي,8101304,1,1,دکتر مرادی,27954,16095,13-15.5,,,,,,,,15
كارگاه عمومي,8101304,2,1,دکتر مرادی,27954,16095,15.5-18,,,,,,,,15
كار گاه عمومي,8101304,3,1,دکتر مرادی,27954,16095,,,13-15.5,,,,,,15
كارگاه عمومي,8101304,4,1,دکتر مرادی,27954,16095,,,15.5-18,,,,,,15
كار گاه عمومي,8101304,5,1,دکتر مرادی,27954,16095,,,,,13-15.5,,,,15
كار گاه عمومي,8101304,6,1,دکتر مرادی,27954,16095,,,,,15.5-18,,,,15
كار گاه عمومي,8101304,7,1,دکتر مرادی,27954,16095,,15.5-18,,,,,,,15
كار گاه عمومي,8101304,8,1,دکتر مرادی,27954,16095,,,,15.5-18,,,,,15
الكترونيك (3),8101089,1,3,دکتر شعاعی,25486,16063,,7.5-9,,7.5-9,,,96/11/04 عصر,الكترونيك (2) + *سيستمهای کنترل خطی,50
فيزيك الكترونيك,8101277,1,3,دکتر مهاجرزاده,24506,16055,10.5-12,,10.5-12,,,,96/10/24 عصر,فيزيك مدرن + * الكترونيك (2),30
فيزيك مدرن,8101285,1,3,دکتر پور فتح,28935,16109,9-10.5,,9-10.5,,,,96/10/25 عصر,٭ رياضي مهندسي,30
سيستمهای نهفته مبتنی بر مدارات قابل برنامه ريزی (FPGA),8101804,1,4,دکتر علیزاده,28763,16105,9-10.5,,9-10.5,,,,96/10/27 عصر,مدارهای منطقی,24
