الكترونيك (1), , دکتر کلاه دوز, محمدرضا کلاه دوز اصفهانی, 29541, 16110
الكترونيك (2), , دكتر آشتیانی, شاهین جعفرآبادی آشتیانی, 27905, 16092
الكترونيك (2), , دكتر شیخائی, صمد شیخائی, 27186, 16086
الكترونيك (2), , دكتر افضلی کوشا, علی افضلی کوشا, 24378, 16053
آمار و احتمالات مهندسی, , دکتر ادهمی, ارس ادهمی میرحسینی, 326415, 18250
آمار و احتمالات مهندسی, , دکتر ربیعی, امیر مسعود ربیعی, 28667, 16101
آمار و احتمالات مهندسی(کامپيوتر), , دکتر بهرک, بهنام بهرک, 394392, 18306
الكترومغناطيس, , دکتر شاه آبادی, محمود شاه آبادی, 25475, 16062
الكترومغناطيس, , دکتر یوسفی, لیلا یوسفی, 29986, 16112
الكترومغناطيس, , دکتر نشاط, محمد نشاط, 29989, 16113
بررسي سيستم هاي قدرت (1), , دکتر امینی فر, فرخ امینی فر, 30049, 16118
بررسي سيستم هاي قدرت (1), , دکتر معینی, معین معینی اقطاعی, 394921, 18266
برنامه سازي پيشرفته, , دكتر خسروی, رامتین خسروی, 27860, 16090
تجزيه و تحليل سيستم ها, , دکتر عباس فر, علی اعظم عباس فر, 27644, 16087
تجزيه و تحليل سيستم ها, , دکتر صالح کلیبر, صدف صالح کلیبر, 30688, 16128
رياضي مهندسي, , دكتر محمدطاهری, محمود محمدطاهری, 23270, 16045
رياضي مهندسي, , دكتر محمدپوراقدم, کریم محمدپوراقدم, 30018, 16117
رياضي مهندسي, , دکتر طالع ماسوله, دکتر طالع ماسوله, 28893, 18317
زبان تخصصي, , خانم فاطمي, فاطمه فاطمی دزفولی, 326230, 18263
زبان تخصصي, , خانم فاطمي, فاطمه فاطمی دزفولی, 326230, 18263
زبان تخصصي, , خانم فاطمي, فاطمه فاطمی دزفولی, 326230, 18263
سيستم هاي كنترل خطي, , دکتر بهرامی, فریبا بهرامی بوده لالو, 22359, 16037
سيستم هاي كنترل خطي, , دكتر عباسيان, تورج عباسیان نجف آبادی, 28693, 16102
ماشين های الكتريكي (2), , دکتر داور پناه, مهدی داور پناه, 30228, 16120
ماشين های الكتريكي (2), , دکتر افشارنیا, سعید افشارنیا, 24498, 16054
مباني كامپيوتر و برنامه سازي, , دكتر مرادي, منوچهر مرادی سبزوار, 27954, 16095
مباني كامپيوتر و برنامه سازي, , دكتر هاشمي, محمود رضا هاشمی, 26909, 16082
مخابرات (1), , دكتر الفت, علی الفت, 26871, 16081
مخابرات (1), , دكتر صباغیان, مریم صباغیان, 28644, 16100
